序号,一级分类,二级分类,接口名称,接口路径
516,VC,,配对/批量配对,https://apidoc.lingxing.com/#/docs/Sale/productRelationbatchLink
517,VC,,查询VC发货单列表,https://apidoc.lingxing.com/#/docs/VC/vcDeliverPageList
518,VC,,查询VC发货单详情,https://apidoc.lingxing.com/#/docs/VC/vcDeliverDetail
519,亚马逊源表数据,,查询亚马逊源报表-所有订单,https://apidoc.lingxing.com/#/docs/SourceData/AllOrders
520,亚马逊源表数据,,查询亚马逊源报表-FBA订单,https://apidoc.lingxing.com/#/docs/SourceData/FbaOrders
521,亚马逊源表数据,,查询亚马逊源报表-FBA换货订单,https://apidoc.lingxing.com/#/docs/SourceData/fbaExchangeOrderList
522,亚马逊源表数据,,查询亚马逊源报表-FBA退货订单,https://apidoc.lingxing.com/#/docs/SourceData/RefundOrders
523,亚马逊源表数据,,查询亚马逊源报表-FBM退货订单,https://apidoc.lingxing.com/#/docs/SourceData/fbmReturnOrderList
524,亚马逊源表数据,,查询亚马逊源报表-移除订单（新）,https://apidoc.lingxing.com/#/docs/SourceData/RemovalOrderListNew
525,亚马逊源表数据,,查询亚马逊源报表-移除订单（旧）,https://apidoc.lingxing.com/#/docs/SourceData/SourceRemovalOrders
526,亚马逊源表数据,,查询亚马逊源报表-移除货件（新）,https://apidoc.lingxing.com/#/docs/SourceData/RemovalShipmentList
527,亚马逊源表数据,,查询亚马逊源报表-移除货件（旧）,https://apidoc.lingxing.com/#/docs/SourceData/RemovalLists
528,亚马逊源表数据,,查询亚马逊源报表-FBA库存,https://apidoc.lingxing.com/#/docs/SourceData/ManageInventory
529,亚马逊源表数据,,查询亚马逊源报表-每日库存,https://apidoc.lingxing.com/#/docs/SourceData/DailyInventory
530,亚马逊源表数据,,查询亚马逊源报表-FBA可售库存,https://apidoc.lingxing.com/#/docs/SourceData/AfnFulfillableQuantity
531,亚马逊源表数据,,查询亚马逊源报表-预留库存,https://apidoc.lingxing.com/#/docs/SourceData/ReservedInventory
532,亚马逊源表数据,,查询亚马逊源报表-库龄表,https://apidoc.lingxing.com/#/docs/SourceData/getFbaAgeList
533,亚马逊源表数据,,查询亚马逊源报表-交易明细,https://apidoc.lingxing.com/#/docs/SourceData/Transaction
534,亚马逊源表数据,,查询亚马逊源报表-Amazon Fulfilled Shipments,https://apidoc.lingxing.com/#/docs/SourceData/getAmazonFulfilledShipmentsList
535,亚马逊源表数据,,查询亚马逊源报表-Amazon Fulfilled Shipments V1,https://apidoc.lingxing.com/#/docs/SourceData/v1getAmazonFulfilledShipmentsList
536,亚马逊源表数据,,查询亚马逊源报表-Inventory Event Detail,https://apidoc.lingxing.com/#/docs/SourceData/getFbaInventoryEventDetailList
537,亚马逊源表数据,,查询亚马逊源报表-Inventory Event Detail V1,https://apidoc.lingxing.com/#/docs/SourceData/v1getFbaInventoryEventDetailList
538,亚马逊源表数据,,查询亚马逊源报表- 盘存记录,https://apidoc.lingxing.com/#/docs/SourceData/AdjustmentList
539,亚马逊源表数据,,报告导出-创建导出任务,https://apidoc.lingxing.com/#/docs/Statistics/reportCreateReportExportTask
540,亚马逊源表数据,,报告导出-查询导出任务结果,https://apidoc.lingxing.com/#/docs/Statistics/reportQueryReportExportTask
541,亚马逊源表数据,,报告导出-报告下载链接续期,https://apidoc.lingxing.com/#/docs/Statistics/AmazonReportExportTask
